trading_day,expiration_day,strike,ticker
2022-10-21,2022-11-18,140000,AAPL
2022-10-21,2022-11-18,145000,AAPL
2022-10-21,2022-11-18,150000,AAPL
2022-10-21,2022-11-18,155000,AAPL
2022-10-21,2022-11-18,160000,AAPL
2022-10-21,2022-11-18,165000,AAPL
2022-10-21,2022-11-18,170000,AAPL
2022-10-21,2022-11-18,175000,AAPL
2022-11-18,2022-12-16,130000,AAPL
2022-11-18,2022-12-16,135000,AAPL
2022-11-18,2022-12-16,140000,AAPL
2022-11-18,2022-12-16,145000,AAPL
2022-11-18,2022-12-16,150000,AAPL
2022-11-18,2022-12-16,155000,AAPL
2022-11-18,2022-12-16,160000,AAPL
2022-11-18,2022-12-16,165000,AAPL
2022-11-18,2022-12-16,170000,AAPL
2022-11-18,2022-12-16,175000,AAPL
2022-11-18,2022-12-16,180000,AAPL
2022-12-16,2023-01-20,110000,AAPL
2022-12-16,2023-01-20,115000,AAPL
2022-12-16,2023-01-20,120000,AAPL
2022-12-16,2023-01-20,125000,AAPL
2022-12-16,2023-01-20,130000,AAPL
2022-12-16,2023-01-20,135000,AAPL
2022-12-16,2023-01-20,140000,AAPL
2022-12-16,2023-01-20,145000,AAPL
2022-12-16,2023-01-20,150000,AAPL
2022-12-16,2023-01-20,155000,AAPL
2022-12-16,2023-01-20,160000,AAPL
2023-01-20,2023-02-17,115000,AAPL
2023-01-20,2023-02-17,120000,AAPL
2023-01-20,2023-02-17,125000,AAPL
2023-01-20,2023-02-17,130000,AAPL
2023-01-20,2023-02-17,135000,AAPL
2023-01-20,2023-02-17,140000,AAPL
2023-01-20,2023-02-17,145000,AAPL
2023-01-20,2023-02-17,150000,AAPL
2023-01-20,2023-02-17,155000,AAPL
2023-01-20,2023-02-17,160000,AAPL
2023-01-20,2023-02-17,165000,AAPL
2023-02-17,2023-03-17,130000,AAPL
2023-02-17,2023-03-17,135000,AAPL
2023-02-17,2023-03-17,140000,AAPL
2023-02-17,2023-03-17,145000,AAPL
2023-02-17,2023-03-17,150000,AAPL
2023-02-17,2023-03-17,155000,AAPL
2023-02-17,2023-03-17,160000,AAPL
2023-02-17,2023-03-17,165000,AAPL
2023-02-17,2023-03-17,170000,AAPL
2023-02-17,2023-03-17,175000,AAPL
2023-02-17,2023-03-17,180000,AAPL
2023-03-17,2023-04-21,135000,AAPL
2023-03-17,2023-04-21,140000,AAPL
2023-03-17,2023-04-21,145000,AAPL
2023-03-17,2023-04-21,150000,AAPL
2023-03-17,2023-04-21,155000,AAPL
2023-03-17,2023-04-21,160000,AAPL
2023-03-17,2023-04-21,165000,AAPL
2023-03-17,2023-04-21,170000,AAPL
2023-03-17,2023-04-21,175000,AAPL
2023-03-17,2023-04-21,180000,AAPL
2023-03-17,2023-04-21,185000,AAPL
2023-04-21,2023-05-19,140000,AAPL
2023-04-21,2023-05-19,145000,AAPL
2023-04-21,2023-05-19,150000,AAPL
2023-04-21,2023-05-19,155000,AAPL
2023-04-21,2023-05-19,160000,AAPL
2023-04-21,2023-05-19,165000,AAPL
2023-04-21,2023-05-19,170000,AAPL
2023-04-21,2023-05-19,175000,AAPL
2023-04-21,2023-05-19,180000,AAPL
2023-04-21,2023-05-19,185000,AAPL
2023-04-21,2023-05-19,187500,AAPL
2023-05-19,2023-06-16,155000,AAPL
2023-05-19,2023-06-16,160000,AAPL
2023-05-19,2023-06-16,165000,AAPL
2023-05-19,2023-06-16,170000,AAPL
2023-05-19,2023-06-16,175000,AAPL
2023-05-19,2023-06-16,180000,AAPL
2023-05-19,2023-06-16,185000,AAPL
2023-05-19,2023-06-16,187500,AAPL
2023-05-19,2023-06-16,190000,AAPL
2023-05-19,2023-06-16,192500,AAPL
2023-05-19,2023-06-16,195000,AAPL
2023-06-16,2023-07-21,165000,AAPL
2023-06-16,2023-07-21,170000,AAPL
2023-06-16,2023-07-21,175000,AAPL
2023-06-16,2023-07-21,180000,AAPL
2023-06-16,2023-07-21,185000,AAPL
2023-06-16,2023-07-21,187500,AAPL
2023-06-16,2023-07-21,190000,AAPL
2023-06-16,2023-07-21,192500,AAPL
2023-06-16,2023-07-21,195000,AAPL
2023-06-16,2023-07-21,197500,AAPL
2023-06-16,2023-07-21,200000,AAPL
2023-07-21,2023-08-18,180000,AAPL
2023-07-21,2023-08-18,185000,AAPL
2023-07-21,2023-08-18,187500,AAPL
2023-07-21,2023-08-18,190000,AAPL
2023-07-21,2023-08-18,192500,AAPL
2023-07-21,2023-08-18,195000,AAPL
2023-07-21,2023-08-18,197500,AAPL
2023-07-21,2023-08-18,200000,AAPL
2023-07-21,2023-08-18,202500,AAPL
2023-07-21,2023-08-18,205000,AAPL
2023-07-21,2023-08-18,207500,AAPL
